x,y,z,u,v,w
1,1,0.0,,,
1,1,-0.1,959.0,539.0,0.9960784912109375
1,1,-0.2,959.0,539.0,0.9921569228172302
1,1,-0.30000000000000004,959.0,539.0,0.988235354423523
1,1,-0.4,959.0,539.0,0.9843137860298157
1,1,-0.5,959.0,539.0,0.9803922176361084
1,1,-0.6000000000000001,959.0,539.0,0.9803922176361084
1,1,-0.7000000000000001,959.0,539.0,0.9764706492424011
1,1,-0.8,959.0,539.0,0.9725490808486938
1,1,-0.9,959.0,539.0,0.9686275124549866
1,1,-1.0,959.0,539.0,0.9647059440612793
1,1,-1.1,959.0,539.0,0.960784375667572
1,1,-1.2000000000000002,959.0,539.0,0.9568628072738647
1,1,-1.3,959.0,539.0,0.9529412388801575
1,1,-1.4000000000000001,959.0,539.0,0.9490196704864502
1,1,-1.5,959.0,539.0,0.9450981020927429
1,1,-1.6,959.0,539.0,0.9411765336990356
1,1,-1.7000000000000002,959.0,539.0,0.9372549653053284
1,1,-1.8,959.0,539.0,0.9333333969116211
1,1,-1.9000000000000001,959.0,539.0,0.9294118285179138
1,1,-2.0,959.0,539.0,0.9254902601242065
1,1,-2.1,959.0,539.0,0.9215686917304993
1,1,-2.2,957.0,539.0,0.917647123336792
1,1,-2.3000000000000003,936.0,539.0,0.9137255549430847
1,1,-2.4000000000000004,917.0,539.0,0.9098039865493774
1,1,-2.5,899.0,539.0,0.9058824181556702
1,1,-2.6,883.0,539.0,0.9019608497619629
1,1,-2.7,868.0,539.0,0.8980392813682556
1,1,-2.8000000000000003,854.0,539.0,0.8941177129745483
1,1,-2.9000000000000004,841.0,539.0,0.8901961445808411
1,1,-3.0,829.0,539.0,0.8862745761871338
1,1,-3.1,818.0,539.0,0.8823530077934265
1,1,-3.2,808.0,539.0,0.8784314393997192
1,1,-3.3000000000000003,798.0,539.0,0.874509871006012
1,1,-3.4000000000000004,788.0,539.0,0.8705883026123047
1,1,-3.5,779.0,539.0,0.8666667342185974
1,1,-3.6,771.0,539.0,0.8588235974311829
1,1,-3.7,763.0,539.0,0.8549020290374756
1,1,-3.8000000000000003,756.0,539.0,0.8509804606437683
1,1,-3.9000000000000004,749.0,539.0,0.847058892250061
1,1,-4.0,742.0,532.0,0.8431373238563538
1,1,-4.1000000000000005,735.0,526.0,0.8392157554626465
1,1,-4.2,729.0,519.0,0.8352941870689392
1,1,-4.3,724.0,514.0,0.8313726186752319
1,1,-4.4,718.0,508.0,0.8274510502815247
1,1,-4.5,713.0,503.0,0.8196079134941101
1,1,-4.6000000000000005,708.0,498.0,0.8156863451004028
1,1,-4.7,703.0,493.0,0.8117647767066956
1,1,-4.800000000000001,698.0,488.0,0.8078432083129883
1,1,-4.9,694.0,484.0,0.803921639919281
1,1,-5.0,689.0,479.0,0.7960785031318665
1,1,-5.1000000000000005,685.0,475.0,0.7921569347381592
1,1,-5.2,681.0,471.0,0.7882353663444519
1,1,-5.300000000000001,678.0,468.0,0.7843137979507446
1,1,-5.4,674.0,464.0,0.7803922295570374
1,1,-5.5,670.0,460.0,0.7725490927696228
1,1,-5.6000000000000005,667.0,457.0,0.7686275243759155
1,1,-5.7,664.0,454.0,0.7647059559822083
1,1,-5.800000000000001,660.0,451.0,0.7568628191947937
1,1,-5.9,657.0,447.0,0.7529412508010864
1,1,-6.0,654.0,444.0,0.7490196228027344
1,1,-6.1000000000000005,652.0,442.0,0.7450980544090271
1,1,-6.2,649.0,439.0,0.7372549176216125
1,1,-6.300000000000001,646.0,436.0,0.7333333492279053
1,1,-6.4,643.0,434.0,0.7254902124404907
1,1,-6.5,641.0,431.0,0.7215686440467834
1,1,-6.6000000000000005,638.0,429.0,0.7176470756530762
1,1,-6.7,636.0,426.0,0.7098039388656616
1,1,-6.800000000000001,634.0,424.0,0.7058823704719543
1,1,-6.9,632.0,422.0,0.7019608020782471
1,1,-7.0,629.0,419.0,0.6941176652908325
1,1,-7.1000000000000005,627.0,417.0,0.6901960968971252
1,1,-7.2,625.0,415.0,0.6823529601097107
1,1,-7.300000000000001,623.0,413.0,0.6784313917160034
1,1,-7.4,621.0,411.0,0.6705882549285889
1,1,-7.5,619.0,409.0,0.6666666865348816
1,1,-7.6000000000000005,618.0,408.0,0.658823549747467
1,1,-7.7,616.0,406.0,0.6549019813537598
1,1,-7.800000000000001,614.0,404.0,0.6470588445663452
1,1,-7.9,612.0,402.0,0.6392157077789307
1,1,-8.0,611.0,401.0,0.6352941393852234
1,1,-8.1,609.0,399.0,0.6274510025978088
1,1,-8.200000000000001,607.0,398.0,0.6196078658103943
1,1,-8.3,606.0,396.0,0.615686297416687
1,1,-8.4,604.0,394.0,0.6078431606292725
1,1,-8.5,603.0,393.0,0.6000000238418579
1,1,-8.6,601.0,392.0,0.5960784554481506
1,1,-8.700000000000001,600.0,390.0,0.5882353186607361
1,1,-8.8,599.0,389.0,0.5803921818733215
1,1,-8.9,597.0,387.0,0.572549045085907
1,1,-9.0,596.0,386.0,0.5647059082984924
1,1,-9.1,595.0,385.0,0.5568627715110779
1,1,-9.200000000000001,594.0,384.0,0.5490196347236633
1,1,-9.3,592.0,382.0,0.5411764979362488
1,1,-9.4,591.0,381.0,0.5333333611488342
1,1,-9.5,590.0,380.0,0.5254902243614197
1,1,-9.600000000000001,589.0,379.0,0.5176470875740051
1,1,-9.700000000000001,588.0,378.0,0.5098039507865906
1,1,-9.8,587.0,377.0,0.501960813999176
1,1,-9.9,585.0,376.0,0.4941176772117615
1,1,-10.0,584.0,374.0,0.4862745404243469
1,1,-10.100000000000001,583.0,373.0,0.4745098352432251
1,1,-10.200000000000001,582.0,372.0,0.46666669845581055
1,1,-10.3,581.0,371.0,0.4549019932746887
1,1,-10.4,580.0,370.0,0.44705885648727417
1,1,-10.5,579.0,369.0,0.43529415130615234
1,1,-10.600000000000001,578.0,369.0,0.4274510145187378
1,1,-10.700000000000001,578.0,368.0,0.41568630933761597
1,1,-10.8,577.0,367.0,0.40392160415649414
1,1,-10.9,576.0,366.0,0.3921568989753723
1,1,-11.0,575.0,365.0,0.3803921937942505
1,1,-11.100000000000001,574.0,364.0,0.3686274588108063
1,1,-11.200000000000001,573.0,363.0,0.35686275362968445
1,1,-11.3,572.0,362.0,0.34117648005485535
1,1,-11.4,571.0,362.0,0.3294117748737335
1,1,-11.5,571.0,361.0,0.3137255012989044
1,1,-11.600000000000001,570.0,360.0,0.2980392277240753
1,1,-11.700000000000001,569.0,359.0,0.2823529541492462
1,1,-11.8,568.0,358.0,0.26274511218070984
1,1,-11.9,568.0,358.0,0.24313727021217346
1,1,-12.0,567.0,357.0,0.2196078598499298
1,1,-12.100000000000001,566.0,356.0,0.19607844948768616
1,1,-12.200000000000001,565.0,356.0,0.16862745583057404
1,1,-12.3,565.0,355.0,0.13333334028720856
1,1,-12.4,564.0,354.0,0.08627451211214066
1,1,-12.5,,,
1,1,-12.600000000000001,,,
1,1,-12.700000000000001,,,
1,1,-12.8,,,
1,1,-12.9,,,
1,1,-13.0,,,
1,1,-13.100000000000001,,,
1,1,-13.200000000000001,,,
1,1,-13.3,,,
1,1,-13.4,,,
1,1,-13.5,,,
1,1,-13.600000000000001,,,
1,1,-13.700000000000001,,,
1,1,-13.8,,,
